AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet Only,East Florida,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","04 [0.41, 0.59]",34027,0.000441,0.0004629695469
HIGH,Internet/Voice,Minnesota,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","02 [0.13, 0.26]",5169,0.000000,0.000388875652
LOW,Video/Internet,Kansas City / Lincoln,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","04 [0.41, 0.59]",884,0.000000,0.001134163201
HIGH,Video/Internet/Voice,Midwest Central,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","09 [2.80, 440.64]",1331,0.002254,0.001725601282
ZERO,Internet Only,Kentucky,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","02 [0.13, 0.26]",245,0.000000,0.0009472422015
LOW,Video/Internet,So Cal North,"09 [16.5192, 100.0]",NULL,NULL,4048,0.000494,0.0008110872174
HIGH,Video/Internet,East Florida,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","02 [0.13, 0.26]",5777,0.001385,0.00108142977
LOW,Video/Internet/Voice,South Carolina,"02 [0.1236, 0.597]","02 [2.13, 5.13]","01 [0.009, 0.13]",710,0.001408,0.001489974299
LOW,Video/Internet/Voice,So Cal Central,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","02 [0.13, 0.26]",2871,0.001742,0.001316857546
LOW,Video/Internet,South Texas,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","02 [0.13, 0.26]",1349,0.002224,0.0008599994012
HIGH,Internet/Voice,Eastern NY,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","05 [0.59, 0.81]",2151,0.000000,0.0004334004745
LOW,Video/Internet,Central States,"08 [9.1684, 16.5179]","07 [21.71, 28.68]","05 [0.59, 0.81]",670,0.000000,0.001009940034
ZERO,Internet Only,North Texas,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","05 [0.59, 0.81]",1281,0.003903,0.001193793259
ZERO,Internet Only,Eastern NC,"01 [0.0, 0.0]","06 [16.54, 21.71]","02 [0.13, 0.26]",542,0.001845,0.0006976334709
ZERO,Video/Internet/Voice,Midwest Central,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","06 [0.81, 1.13]",178,0.000000,0.001647154713
LOW,Internet/Voice,Michigan,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","05 [0.59, 0.81]",225,0.000000,0.0004409024598
ZERO,Video/Internet,Midwest Central,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","02 [0.13, 0.26]",248,0.004032,0.00183450493
> 0.95,Internet Only,So Cal South,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","06 [0.81, 1.13]",16,0.000000,0.000529830448
ZERO,Internet Only,Midwest Central,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","07 [1.13, 1.65]",4,0.000000,0.0006885989192
LOW,Internet Only,Minnesota,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","00 [-0.00, 0.009]",137,0.000000,0.0003586573592
ZERO,Video/Internet/Voice,Sierra Nevada,"02 [0.1236, 0.597]","06 [16.54, 21.71]","02 [0.13, 0.26]",47,0.000000,0.002298525925
> 0.95,Video/Internet,South Texas,"02 [0.1236, 0.597]","03 [5.13, 8.53]","04 [0.41, 0.59]",21,0.000000,0.000994643924
ZERO,Video/Internet/Voice,Wisconsin,"08 [9.1684, 16.5179]","03 [5.13, 8.53]","07 [1.13, 1.65]",48,0.000000,0.001656412431
ZERO,Video/Internet/Voice,North Texas,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","01 [0.009, 0.13]",132,0.007576,0.00330226887
HIGH,Video/Internet,South Manhattan,NULL,"03 [5.13, 8.53]","06 [0.81, 1.13]",16,0.000000,0.001156961178
HIGH,Video/Internet,Manhattan / Staten Is / Mt Ver,"06 [3.2313, 5.4348]","09 [40.36, 1134.70]","01 [0.009, 0.13]",5,0.000000,0.001531870027
> 0.95,Video/Internet,So Cal South,"02 [0.1236, 0.597]","04 [8.53, 12.29]","07 [1.13, 1.65]",11,0.000000,0.0007963922693
