AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet/Voice,Midwest Central,"09 [16.5192, 100.0]","01 [0.02, 2.13]","08 [1.65, 2.80]",97,0.000000,0.0005810699287
ZERO,Internet/Voice,Kentucky,"06 [3.2313, 5.4348]","09 [40.36, 1134.70]","09 [2.80, 440.64]",287,0.000000,0.001902541138
> 0.95,Internet Only,South Carolina,"02 [0.1236, 0.597]","09 [40.36, 1134.70]","05 [0.59, 0.81]",14,0.000000,0.0005206759306
LOW,Video/Internet/Voice,Wisconsin,"02 [0.1236, 0.597]","05 [12.29, 16.54]","09 [2.80, 440.64]",77,0.000000,0.0008082367337
ZERO,Internet/Voice,Hawaii,"01 [0.0, 0.0]","01 [0.02, 2.13]","04 [0.41, 0.59]",11,0.000000,0.001392266484
ZERO,Video/Internet/Voice,So Cal Central,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","04 [0.41, 0.59]",10,0.000000,0.002576267319
> 0.95,Video/Internet,West Florida,"01 [0.0, 0.0]","05 [12.29, 16.54]","02 [0.13, 0.26]",18,0.000000,0.002247668417
> 0.95,Video/Internet/Voice,So Cal North,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","09 [2.80, 440.64]",19,0.000000,0.001500961754
ZERO,Internet/Voice,Kentucky,"01 [0.0, 0.0]","01 [0.02, 2.13]","08 [1.65, 2.80]",1,0.000000,0.0008165221846
HIGH,Internet Only,Eastern NC,"01 [0.0, 0.0]","03 [5.13, 8.53]","08 [1.65, 2.80]",46307,0.000324,0.0003950699315
HIGH,Video/Internet/Voice,Midwest South,"08 [9.1684, 16.5179]","09 [40.36, 1134.70]","07 [1.13, 1.65]",13132,0.000457,0.001427727315
HIGH,Video/Internet/Voice,Central States,"05 [1.9149, 3.2258]","00 [-0.00, 0.02]","01 [0.009, 0.13]",12946,0.002086,0.002050796171
LOW,Internet Only,Northern Ohio,"09 [16.5192, 100.0]","08 [28.685, 40.36]","09 [2.80, 440.64]",1472,0.000679,0.0004403105534
HIGH,Internet/Voice,Kansas City / Lincoln,"05 [1.9149, 3.2258]","04 [8.53, 12.29]","03 [0.26, 0.41]",2505,0.000000,0.0006148111977
HIGH,Video/Internet,Wisconsin,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","03 [0.26, 0.41]",16684,0.001439,0.001109400731
LOW,Video/Internet,Southern New England,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","03 [0.26, 0.41]",1411,0.000000,0.0008545166745
HIGH,Video/Internet/Voice,Sierra Nevada,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","02 [0.13, 0.26]",4365,0.000687,0.001182218701
LOW,Video/Internet,So Cal South,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","09 [2.80, 440.64]",1924,0.001040,0.0007399214252
ZERO,Video/Internet,Hawaii,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","01 [0.009, 0.13]",553,0.000000,0.002045653421
LOW,Internet Only,Minnesota,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","07 [1.13, 1.65]",3082,0.000324,0.0002969144193
ZERO,Internet Only,Northern Ohio,"08 [9.1684, 16.5179]","01 [0.02, 2.13]","05 [0.59, 0.81]",27,0.000000,0.000779395464
HIGH,Video/Internet,Southern New England,"09 [16.5192, 100.0]","04 [8.53, 12.29]","01 [0.009, 0.13]",1505,0.001329,0.000740727477
LOW,Video/Internet,Sierra Nevada,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","03 [0.26, 0.41]",1683,0.001783,0.0007954898628
ZERO,Internet Only,West Central Florida,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","02 [0.13, 0.26]",750,0.000000,0.0008341143508
ZERO,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","05 [0.59, 0.81]",364,0.000000,0.0007921977591
ZERO,Internet Only,Northern Ohio,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","03 [0.26, 0.41]",550,0.000000,0.0008028219968
LOW,Internet Only,North Texas,NULL,"07 [21.71, 28.68]","04 [0.41, 0.59]",601,0.000000,0.0007647461617
ZERO,Video/Internet,East Florida,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","06 [0.81, 1.13]",91,0.000000,0.00144494136
ZERO,Video/Internet,South Carolina,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","01 [0.009, 0.13]",14,0.000000,0.001199461579
ZERO,Video/Internet/Voice,Central Texas,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","06 [0.81, 1.13]",32,0.000000,0.001441778139
HIGH,Internet/Voice,Brooklyn / Queens,NULL,"06 [16.54, 21.71]","05 [0.59, 0.81]",77,0.000000,0.0007758335313
> 0.95,Video/Internet,Manhattan / Staten Is / Mt Ver,"02 [0.1236, 0.597]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",5,0.000000,0.00627637852
ZERO,Internet Only,Hawaii,NULL,"02 [2.13, 5.13]","02 [0.13, 0.26]",10,0.000000,0.0007296734934
> 0.95,Video/Internet/Voice,South Texas,"02 [0.1236, 0.597]","02 [2.13, 5.13]","01 [0.009, 0.13]",9,0.000000,0.00238489521
LOW,Internet/Voice,Midwest South,"05 [1.9149, 3.2258]","03 [5.13, 8.53]","01 [0.009, 0.13]",80,0.000000,0.0004938274895
ZERO,Video/Internet,Western NY,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","08 [1.65, 2.80]",40,0.000000,0.002148826045
> 0.95,Internet/Voice,Western NY,"06 [3.2313, 5.4348]","06 [16.54, 21.71]","05 [0.59, 0.81]",3,0.000000,0.0005847847864
> 0.95,Video/Internet,East Central Florida,"02 [0.1236, 0.597]","07 [21.71, 28.68]","07 [1.13, 1.65]",2,0.000000,0.0007192436603
LOW,Internet/Voice,Pacific Northwest,"09 [16.5192, 100.0]","03 [5.13, 8.53]","09 [2.80, 440.64]",2,0.000000,0.00043489387
> 0.95,Video/Internet/Voice,Hawaii,"04 [1.1254, 1.9139]","05 [12.29, 16.54]","06 [0.81, 1.13]",2,0.000000,0.0006650392837
ZERO,Video/Internet/Voice,Mountain States,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","09 [2.80, 440.64]",1,0.000000,0.001942836412
> 0.95,Video/Internet,Midwest Central,"04 [1.1254, 1.9139]","09 [40.36, 1134.70]","09 [2.80, 440.64]",177,0.000000,0.0009638373726
LOW,Internet Only,Wisconsin,"01 [0.0, 0.0]","04 [8.53, 12.29]","02 [0.13, 0.26]",31340,0.000064,0.0002147364114
HIGH,Internet Only,Brooklyn / Queens,"05 [1.9149, 3.2258]","03 [5.13, 8.53]","07 [1.13, 1.65]",19409,0.000258,0.0004048096538
HIGH,Video/Internet,"Greenville, SC / Georgia","02 [0.1236, 0.597]","09 [40.36, 1134.70]","07 [1.13, 1.65]",16413,0.000792,0.0007398740655
HIGH,Internet/Voice,Western NY,"01 [0.0, 0.0]","06 [16.54, 21.71]","06 [0.81, 1.13]",12162,0.000329,0.000522158
LOW,Video/Internet/Voice,So Cal South,"01 [0.0, 0.0]","03 [5.13, 8.53]","05 [0.59, 0.81]",26729,0.001160,0.001216197585
ZERO,Internet Only,North Texas,"01 [0.0, 0.0]","03 [5.13, 8.53]","07 [1.13, 1.65]",1674,0.001195,0.0008055941929
LOW,Internet/Voice,Central States,"01 [0.0, 0.0]","02 [2.13, 5.13]","04 [0.41, 0.59]",1586,0.000631,0.0006460839162
LOW,Internet Only,Mountain States,"01 [0.0, 0.0]","04 [8.53, 12.29]","02 [0.13, 0.26]",12660,0.000158,0.0002209605939
HIGH,Internet Only,Western NC,NULL,"05 [12.29, 16.54]","07 [1.13, 1.65]",4130,0.000242,0.0007501933311
ZERO,Internet Only,"Greenville, SC / Georgia",NULL,"03 [5.13, 8.53]","05 [0.59, 0.81]",5692,0.001054,0.0008951887271
HIGH,Internet/Voice,Northern Ohio,"02 [0.1236, 0.597]","05 [12.29, 16.54]","09 [2.80, 440.64]",1843,0.000000,0.0004736984043
ZERO,Internet Only,West Central Florida,NULL,"03 [5.13, 8.53]","04 [0.41, 0.59]",1656,0.000604,0.001069756879
LOW,Video/Internet/Voice,Western NC,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","04 [0.41, 0.59]",803,0.000000,0.00126440084
ZERO,Video/Internet/Voice,West Florida,"05 [1.9149, 3.2258]","04 [8.53, 12.29]","03 [0.26, 0.41]",251,0.003984,0.002380476539
LOW,Internet Only,Minnesota,"08 [9.1684, 16.5179]","00 [-0.00, 0.02]","01 [0.009, 0.13]",96,0.000000,0.0002500897073
LOW,Video/Internet,Midwest Central,"02 [0.1236, 0.597]","05 [12.29, 16.54]","06 [0.81, 1.13]",51,0.000000,0.0006326815379
HIGH,Internet/Voice,Kentucky,NULL,"04 [8.53, 12.29]","01 [0.009, 0.13]",44,0.000000,0.0009295804746
ZERO,Video/Internet,South Texas,"02 [0.1236, 0.597]","06 [16.54, 21.71]","07 [1.13, 1.65]",175,0.000000,0.001068517542
> 0.95,Internet Only,Northern Ohio,"01 [0.0, 0.0]","01 [0.02, 2.13]","07 [1.13, 1.65]",8,0.000000,0.0004932260347
LOW,Video/Internet/Voice,Michigan,"02 [0.1236, 0.597]","02 [2.13, 5.13]","07 [1.13, 1.65]",29,0.000000,0.0009911178929
ZERO,Internet/Voice,TN / LA / AL,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","08 [1.65, 2.80]",102,0.000000,0.001212922035
ZERO,Internet/Voice,Southern New England,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","06 [0.81, 1.13]",39,0.000000,0.0009892457154
ZERO,Video/Internet/Voice,Eastern NC,"09 [16.5192, 100.0]","05 [12.29, 16.54]","03 [0.26, 0.41]",114,0.008772,0.001837778433
ZERO,Internet/Voice,Northern Ohio,"02 [0.1236, 0.597]","07 [21.71, 28.68]","04 [0.41, 0.59]",70,0.000000,0.001163802424
ZERO,Video/Internet,Hawaii,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","04 [0.41, 0.59]",126,0.000000,0.002069453568
LOW,Internet/Voice,Midwest Central,"02 [0.1236, 0.597]","05 [12.29, 16.54]","08 [1.65, 2.80]",10,0.000000,0.0006092264298
ZERO,Video/Internet/Voice,Western NY,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","07 [1.13, 1.65]",22,0.000000,0.002615076453
ZERO,Internet/Voice,"Greenville, SC / Georgia","01 [0.0, 0.0]","01 [0.02, 2.13]","00 [-0.00, 0.009]",6,0.000000,0.001310205972
> 0.95,Video/Internet,South Carolina,"08 [9.1684, 16.5179]",NULL,NULL,6,0.000000,0.001344078224
> 0.95,Internet/Voice,Western NY,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","06 [0.81, 1.13]",4,0.000000,0.0003602906217
LOW,Video/Internet/Voice,Midwest South,"05 [1.9149, 3.2258]","09 [40.36, 1134.70]","02 [0.13, 0.26]",4,0.000000,0.001279924565
HIGH,Internet Only,TN / LA / AL,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","04 [0.41, 0.59]",30081,0.000366,0.0004391820545
HIGH,Video/Internet/Voice,Midwest South,"09 [16.5192, 100.0]","02 [2.13, 5.13]","04 [0.41, 0.59]",11784,0.002206,0.001942313493
HIGH,Video/Internet,Midwest South,"01 [0.0, 0.0]","01 [0.02, 2.13]","00 [-0.00, 0.009]",6739,0.001336,0.001612129093
HIGH,Video/Internet/Voice,Wisconsin,"02 [0.1236, 0.597]","02 [2.13, 5.13]","03 [0.26, 0.41]",54469,0.001267,0.001208128672
ZERO,Video/Internet/Voice,Southern New England,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",2386,0.001676,0.001272174775
HIGH,Internet Only,Kentucky,"07 [5.4369, 9.1667]","06 [16.54, 21.71]","08 [1.65, 2.80]",44002,0.000636,0.0006423379785
HIGH,Video/Internet,So Cal Central,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","04 [0.41, 0.59]",10458,0.001052,0.001028836501
HIGH,Video/Internet/Voice,East Florida,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","08 [1.65, 2.80]",7749,0.000903,0.001291478957
HIGH,Video/Internet,Central NY,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","08 [1.65, 2.80]",5485,0.000729,0.0007307867704
LOW,Internet Only,East Central Florida,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","01 [0.009, 0.13]",1062,0.000942,0.0004949723749
LOW,Video/Internet/Voice,Wisconsin,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","01 [0.009, 0.13]",3126,0.000640,0.001233271288
LOW,Video/Internet/Voice,Mountain States,"01 [0.0, 0.0]","03 [5.13, 8.53]","03 [0.26, 0.41]",5033,0.001391,0.0009253634537
HIGH,Video/Internet/Voice,South Texas,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","02 [0.13, 0.26]",4773,0.001467,0.001269658575
ZERO,Internet/Voice,Northern Ohio,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",2918,0.000343,0.001162283217
LOW,Internet Only,Northern New England,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","02 [0.13, 0.26]",886,0.001129,0.0003428853796
HIGH,Video/Internet/Voice,Northern Ohio,"01 [0.0, 0.0]","01 [0.02, 2.13]","08 [1.65, 2.80]",2495,0.002004,0.001632855805
LOW,Video/Internet/Voice,So Cal South,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","07 [1.13, 1.65]",3352,0.000298,0.0009789558487
HIGH,Video/Internet/Voice,Eastern NY,NULL,"00 [-0.00, 0.02]","01 [0.009, 0.13]",291,0.000000,0.001541431513
HIGH,Internet Only,Midwest Central,NULL,"02 [2.13, 5.13]","06 [0.81, 1.13]",312,0.000000,0.0005384281766
ZERO,Internet/Voice,"Greenville, SC / Georgia",NULL,"07 [21.71, 28.68]","05 [0.59, 0.81]",453,0.002208,0.001312713249
LOW,Internet Only,East Florida,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","02 [0.13, 0.26]",308,0.000000,0.0004858580348
> 0.95,Internet Only,TN / LA / AL,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","09 [2.80, 440.64]",423,0.002364,0.0007198855194
ZERO,Internet/Voice,Central States,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","09 [2.80, 440.64]",89,0.000000,0.002074239755
ZERO,Internet Only,So Cal North,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","07 [1.13, 1.65]",247,0.000000,0.0007220563081
ZERO,Video/Internet/Voice,So Cal North,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","06 [0.81, 1.13]",161,0.000000,0.001981960866
> 0.95,Video/Internet/Voice,Western NC,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","06 [0.81, 1.13]",21,0.000000,0.002510776255
ZERO,Video/Internet,So Cal North,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","02 [0.13, 0.26]",35,0.000000,0.00252170624
ZERO,Internet/Voice,Central NY,"02 [0.1236, 0.597]","04 [8.53, 12.29]","04 [0.41, 0.59]",24,0.000000,0.001024042532
ZERO,Video/Internet/Voice,Eastern NC,"02 [0.1236, 0.597]","02 [2.13, 5.13]","09 [2.80, 440.64]",19,0.000000,0.001920448789
ZERO,Video/Internet,Mountain States,"01 [0.0, 0.0]","05 [12.29, 16.54]","09 [2.80, 440.64]",29,0.000000,0.001422637996
> 0.95,Video/Internet,Southern New England,"01 [0.0, 0.0]","06 [16.54, 21.71]","07 [1.13, 1.65]",6,0.000000,0.0004706226918
> 0.95,Video/Internet,West Central Florida,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","05 [0.59, 0.81]",4,0.000000,0.00105836024
ZERO,Internet Only,Northern New England,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","06 [0.81, 1.13]",24,0.000000,0.0006830372376
> 0.95,Internet/Voice,Southern New England,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","03 [0.26, 0.41]",4,0.000000,0.0005492549666
HIGH,Video/Internet,Western NY,"04 [1.1254, 1.9139]","09 [40.36, 1134.70]","05 [0.59, 0.81]",10962,0.000547,0.0008772208487
ZERO,Internet Only,TN / LA / AL,NULL,"03 [5.13, 8.53]","04 [0.41, 0.59]",12867,0.000699,0.0008446969761
HIGH,Internet Only,Southern New England,"01 [0.0, 0.0]","08 [28.685, 40.36]","09 [2.80, 440.64]",50073,0.000399,0.0003401865648
HIGH,Video/Internet/Voice,East Florida,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","04 [0.41, 0.59]",12497,0.001520,0.002239155344
HIGH,Internet/Voice,So Cal South,"02 [0.1236, 0.597]","07 [21.71, 28.68]","05 [0.59, 0.81]",8269,0.000363,0.0003861421813
LOW,Video/Internet,Minnesota,"03 [0.5976, 1.1236]",NULL,NULL,1522,0.000000,0.0006190745216
HIGH,Video/Internet,"Greenville, SC / Georgia","02 [0.1236, 0.597]","06 [16.54, 21.71]","04 [0.41, 0.59]",10406,0.000673,0.0007333757047
HIGH,Video/Internet,Eastern NC,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","04 [0.41, 0.59]",28548,0.000981,0.0008462532477
HIGH,Video/Internet/Voice,West Florida,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","06 [0.81, 1.13]",7953,0.003018,0.001821089137
HIGH,Video/Internet,Eastern NC,NULL,"03 [5.13, 8.53]","09 [2.80, 440.64]",360,0.000000,0.00119502749
HIGH,Video/Internet/Voice,So Cal Central,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","09 [2.80, 440.64]",1884,0.001062,0.001704814674
HIGH,Video/Internet,Eastern NY,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","04 [0.41, 0.59]",4303,0.000930,0.0007192226371
LOW,Video/Internet,North Texas,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","03 [0.26, 0.41]",1390,0.000000,0.000921246572
HIGH,Internet/Voice,Eastern NY,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","07 [1.13, 1.65]",5710,0.000525,0.0004233764041
HIGH,Internet/Voice,East Florida,"03 [0.5976, 1.1236]","01 [0.02, 2.13]","06 [0.81, 1.13]",191,0.000000,0.0007338046924
HIGH,Internet/Voice,South Texas,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","09 [2.80, 440.64]",4635,0.000431,0.0006473745285
ZERO,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","09 [2.80, 440.64]",556,0.000000,0.000917247741
HIGH,Video/Internet,Sierra Nevada,NULL,"08 [28.685, 40.36]","04 [0.41, 0.59]",116,0.000000,0.0009513573552
LOW,Internet/Voice,Northern Ohio,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","07 [1.13, 1.65]",253,0.000000,0.0004819757567
> 0.95,Video/Internet,So Cal North,"01 [0.0, 0.0]","05 [12.29, 16.54]","01 [0.009, 0.13]",4,0.000000,0.0008893588165
ZERO,Internet Only,South Carolina,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","07 [1.13, 1.65]",603,0.003317,0.0009051880314
ZERO,Video/Internet,So Cal Central,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","09 [2.80, 440.64]",542,0.000000,0.001252810919
HIGH,Internet Only,Southern New England,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","03 [0.26, 0.41]",1018,0.000000,0.0003342111416
LOW,Video/Internet/Voice,Michigan,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","05 [0.59, 0.81]",348,0.002874,0.001375399843
ZERO,Video/Internet/Voice,Central States,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","05 [0.59, 0.81]",78,0.000000,0.002704003886
LOW,Video/Internet/Voice,Mountain States,"01 [0.0, 0.0]","00 [-0.00, 0.02]","04 [0.41, 0.59]",14,0.000000,0.0005753609867
ZERO,Video/Internet/Voice,Eastern NC,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","04 [0.41, 0.59]",412,0.002427,0.002103936752
> 0.95,Internet Only,Mountain States,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","07 [1.13, 1.65]",57,0.000000,0.0003414055494
ZERO,Video/Internet/Voice,North Texas,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","08 [1.65, 2.80]",23,0.000000,0.002492137475
> 0.95,Video/Internet/Voice,"Greenville, SC / Georgia","03 [0.5976, 1.1236]","06 [16.54, 21.71]","07 [1.13, 1.65]",33,0.000000,0.001393051952
ZERO,Internet/Voice,So Cal Central,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","08 [1.65, 2.80]",130,0.000000,0.001043057496
ZERO,Internet/Voice,Midwest South,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","09 [2.80, 440.64]",76,0.000000,0.001339452495
ZERO,Video/Internet,So Cal Central,NULL,"08 [28.685, 40.36]","05 [0.59, 0.81]",40,0.000000,0.001728544477
> 0.95,Internet Only,"Greenville, SC / Georgia","01 [0.0, 0.0]","05 [12.29, 16.54]","03 [0.26, 0.41]",133,0.000000,0.0004760091643
> 0.95,Video/Internet,Wisconsin,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","08 [1.65, 2.80]",7,0.000000,0.0009114998186
> 0.95,Video/Internet/Voice,South Carolina,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",10,0.000000,0.008120694484
> 0.95,Video/Internet/Voice,Sierra Nevada,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","03 [0.26, 0.41]",8,0.000000,0.0009354626931
HIGH,Internet/Voice,Southern New England,NULL,"08 [28.685, 40.36]","04 [0.41, 0.59]",4,0.000000,0.0007117360366
> 0.95,Video/Internet,Southern New England,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","08 [1.65, 2.80]",2,0.000000,0.001404733242
ZERO,Internet Only,Kansas City / Lincoln,NULL,"01 [0.02, 2.13]","00 [-0.00, 0.009]",545,0.001835,0.0008511837174
HIGH,Internet Only,TN / LA / AL,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","09 [2.80, 440.64]",6642,0.000301,0.0004673296566
HIGH,Video/Internet/Voice,So Cal Central,"01 [0.0, 0.0]","03 [5.13, 8.53]","01 [0.009, 0.13]",10588,0.001322,0.001269050671
HIGH,Video/Internet/Voice,East Central Florida,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","04 [0.41, 0.59]",3588,0.003344,0.002579782413
HIGH,Internet/Voice,Central Texas,"01 [0.0, 0.0]","08 [28.685, 40.36]","08 [1.65, 2.80]",25959,0.000462,0.0004578352767
HIGH,Internet Only,South Manhattan,"09 [16.5192, 100.0]","05 [12.29, 16.54]","07 [1.13, 1.65]",1806,0.000554,0.0003902052236
LOW,Internet Only,Mountain States,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","08 [1.65, 2.80]",1700,0.000000,0.0002709277499
HIGH,Internet Only,Central NY,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","01 [0.009, 0.13]",1613,0.000620,0.0003264605624
LOW,Internet/Voice,Western NY,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","08 [1.65, 2.80]",61,0.000000,0.0006668291855
HIGH,Internet Only,Kansas City / Lincoln,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","02 [0.13, 0.26]",1380,0.000000,0.0005099884013
LOW,Internet Only,Central NY,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","08 [1.65, 2.80]",5014,0.000199,0.0003977955502
LOW,Internet Only,Southern New England,"06 [3.2313, 5.4348]","06 [16.54, 21.71]","02 [0.13, 0.26]",354,0.000000,0.0002710960992
LOW,Internet Only,Brooklyn / Queens,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","07 [1.13, 1.65]",3699,0.000000,0.0004594505157
LOW,Internet Only,So Cal South,"02 [0.1236, 0.597]",NULL,NULL,2055,0.000000,0.0002984116913
ZERO,Video/Internet,Michigan,NULL,"03 [5.13, 8.53]","07 [1.13, 1.65]",235,0.000000,0.00102817232
ZERO,Internet Only,Central NY,"01 [0.0, 0.0]","02 [2.13, 5.13]","02 [0.13, 0.26]",1019,0.000981,0.0007034911986
ZERO,Internet Only,North Texas,"09 [16.5192, 100.0]","05 [12.29, 16.54]","07 [1.13, 1.65]",2291,0.003492,0.001646709802
HIGH,Video/Internet/Voice,North Texas,NULL,"05 [12.29, 16.54]","07 [1.13, 1.65]",226,0.000000,0.001957494937
HIGH,Internet/Voice,So Cal South,"01 [0.0, 0.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",83,0.000000,0.0004665400727
ZERO,Video/Internet/Voice,Western NY,"09 [16.5192, 100.0]","05 [12.29, 16.54]","08 [1.65, 2.80]",102,0.000000,0.00191043628
HIGH,Internet Only,Midwest South,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","01 [0.009, 0.13]",80,0.000000,0.0004506986746
LOW,Video/Internet/Voice,West Central Florida,"03 [0.5976, 1.1236]",NULL,NULL,220,0.000000,0.001142624761
ZERO,Video/Internet,Sierra Nevada,"05 [1.9149, 3.2258]","03 [5.13, 8.53]","03 [0.26, 0.41]",152,0.000000,0.001366205201
ZERO,Video/Internet,Eastern NY,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","07 [1.13, 1.65]",88,0.000000,0.00114414448
HIGH,Video/Internet,South Carolina,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","09 [2.80, 440.64]",575,0.000000,0.001338854549
LOW,Internet/Voice,TN / LA / AL,NULL,"06 [16.54, 21.71]","05 [0.59, 0.81]",40,0.000000,0.001068479064
> 0.95,Video/Internet,Michigan,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","05 [0.59, 0.81]",20,0.000000,0.001136868209
ZERO,Internet Only,Wisconsin,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","01 [0.009, 0.13]",74,0.000000,0.0004522334484
LOW,Video/Internet,Kentucky,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",3,0.000000,0.0005389523257
ZERO,Internet Only,Michigan,"01 [0.0, 0.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",5,0.000000,0.001560416075
HIGH,Video/Internet,Wisconsin,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","03 [0.26, 0.41]",39,0.000000,0.0005624584775
> 0.95,Video/Internet/Voice,West Central Florida,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","03 [0.26, 0.41]",4,0.000000,0.002619530832
> 0.95,Video/Internet/Voice,So Cal South,"09 [16.5192, 100.0]","04 [8.53, 12.29]","04 [0.41, 0.59]",5,0.000000,0.002744332908
HIGH,Internet Only,So Cal North,"01 [0.0, 0.0]","04 [8.53, 12.29]","02 [0.13, 0.26]",153998,0.000214,0.0002728334675
HIGH,Internet Only,South Texas,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","05 [0.59, 0.81]",60681,0.000478,0.0004438517906
LOW,Video/Internet,So Cal South,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","03 [0.26, 0.41]",9717,0.000823,0.0008446967722
HIGH,Internet Only,North Texas,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","02 [0.13, 0.26]",64869,0.000385,0.0004685039577
HIGH,Internet Only,Pacific Northwest,"02 [0.1236, 0.597]","03 [5.13, 8.53]","03 [0.26, 0.41]",59763,0.000251,0.0002591768668
HIGH,Video/Internet/Voice,East Central Florida,"01 [0.0, 0.0]","02 [2.13, 5.13]","06 [0.81, 1.13]",11569,0.001556,0.001937794596
HIGH,Video/Internet/Voice,West Florida,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","01 [0.009, 0.13]",29533,0.001896,0.001942339866
